unique_number,rev_bis,name_en,date_inscribed,danger_list,Latitude,Longitude,area_hectares,C1,C2,C3,C4,C5,C6,N7,N8,N9,N10,criteria_txt,category,category_short,states_name_en
230,Rev,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,2003,Y 2003,34.84694,67.82525,158.9265,1,1,1,1,0,1,0,0,0,0,(i)(ii)(iii)(iv)(vi),Cultural,C,Afghanistan
234,Rev,Minaret and Archaeological Remains of Jam,2002,Y 2002,34.39655556,64.51605556,70,0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,Afghanistan
1590,Bis,Historic Centres of Berat and Gjirokastra ,2005,,40.06944444,20.13333333,58.9,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Albania
1563,ter,Butrint,1992,,39.75111111,20.02611111,,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Albania
111,,Al Qal'a of Beni Hammad,1980,,35.81844,4.78684,150,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Algeria
198,,Tassili n'Ajjer,1982,,25.5,9,7200000,1,0,1,0,0,0,1,1,0,0,(i)(iii)(vii)(viii),Mixed,C/N,Algeria
209,,M'Zab Valley,1982,,32.48333,3.68333,665.03,0,1,1,0,1,0,0,0,0,0,(ii)(iii)(v),Cultural,C,Algeria
212,,Djémila,1982,,36.32056,5.73667,30.6,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Algeria
214,,Tipasa,1982,P 2002-2006,36.55,2.383333333,52.16,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Algeria
215,,Timgad,1982,,35.45,6.63333,90.54,0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,Algeria
667,,Kasbah of Algiers,1992,,36.78333,3.06028,60,0,1,0,0,1,0,0,0,0,0,(ii)(v),Cultural,C,Algeria
1487,Bis,Madriu-Perafita-Claror Valley,2004,,42.49472222,1.595555556,4247,0,0,0,0,1,0,0,0,0,0,(v),Cultural,C,Andorra
2128,,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",2017,,-6.2688888889,14.2497222222,89.29,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Angola
2086,,Antigua Naval Dockyard and Related Archaeological Sites,2016,,17.0069444444,-61.7616666667,255,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Antigua and Barbuda
